









title	category	collaboration	start date	end date	start time	end time	venue	map link	description	image	ticket link	pass info	rsvp link	capacity	seats left	show seats	status
Dance movement workshop	Workshop	yes	2026-10-04	2026-10-05	9.00am	12.30pm	Drishti Art Centre	https://www.google.com/maps/search/?api=1&query=Drishti%20Art%20Centre%20Bengaluru	Traditional Balinese dance technique — body, expression, musicality.	assets/dance-class.jpg		Free · included with festival pass	https://forms.gle/EXAMPLE-rsvp				
Balinese shadow puppetry	Performance		2026-10-04		7.30pm		Jagriti Theatre	https://www.google.com/maps/search/?api=1&query=Jagriti%20Theatre%20Bengaluru	Indonesian and Indian shadow traditions share one screen.	assets/shadow-bali.jpg	https://tickets.example.com/shadow			120	64		
Param Kecak workshop	Workshop		2026-10-06		6.00pm	8.00pm	Studio 1, PCPA	https://www.google.com/maps/search/?api=1&query=Studio%201%2C%20PCPA%20Bengaluru	Learn the interlocking chant that drives Kecak.	assets/kecak-crowd.jpg	https://tickets.example.com/kecak-ws			30	4	yes	
Workshop for students	Workshop	yes	2026-10-09		10.00am	1.00pm	Kumarans School	https://www.google.com/maps/search/?api=1&query=Kumarans%20School%20Bengaluru	A schools programme introducing Balinese arts.	assets/carvings.jpg							
Traditional Balinese dance	Performance		2026-10-09		7.00pm	8.30pm	Meenakshi Rangamancha	https://www.google.com/maps/search/?api=1&query=Meenakshi%20Rangamancha%20Bengaluru	An evening of classical Balinese repertoire.	assets/balinese-dance.jpg	https://tickets.example.com/dance			200	0		
Full-day workshop	Workshop		2026-10-11		10.00am	5.00pm	Dathu	https://www.google.com/maps/search/?api=1&query=Dathu%20Bengaluru	A deep-dive making day; materials provided.	assets/batik.jpg	https://tickets.example.com/fullday			25	12	yes	
Kecak performance	Performance	yes	2026-10-11		7.00pm	8.30pm	PCPA Amphitheatre	https://www.google.com/maps/search/?api=1&query=PCPA%20Amphitheatre%20Bengaluru	The Ramayana monkey chant by torchlight.	assets/kecak-hanuman.jpg	https://tickets.example.com/kecak			300	210		
Balinese × Indian shadow puppetry	Performance	yes	2026-10-12		7.30pm		Dathu	https://www.google.com/maps/search/?api=1&query=Dathu%20Bengaluru	Two shadow traditions in one collaborative telling.	assets/shadow-india.jpg							
Balinese dance × Yakshagana	Performance	yes	2026-10-13		7.00pm	9.00pm	Chowdiah Memorial Hall	https://www.google.com/maps/search/?api=1&query=Chowdiah%20Memorial%20Hall%20Bengaluru	Choral Bali meets percussive Yakshagana.	assets/yakshagana-trio.jpg	https://tickets.example.com/yaksha			250	22	yes	
Balinese × Indian shadow puppetry	Performance	yes	2026-10-15		7.30pm	9.00pm	Yuvapatha	https://www.google.com/maps/search/?api=1&query=Yuvapatha%20Bengaluru	A second collaborative shadow evening.	assets/shadow-bali.jpg	https://tickets.example.com/shadow2			150	90		
Gamelan workshop	Workshop		2026-10-16		6.00pm	8.00pm	Jama The Studio	https://www.google.com/maps/search/?api=1&query=Jama%20The%20Studio%20Bengaluru	Play the bronze gamelan under instruction.	assets/masks-wall.jpg			https://forms.gle/EXAMPLE-gamelan				
Closing event, exhibition & talk	Talk		2026-10-18		11.00am		Sabha Bengaluru	https://www.google.com/maps/search/?api=1&query=Sabha%20Bengaluru%20Bengaluru	Exhibition, screening and a closing conversation.	assets/dibia-mask.jpg		Free entry					
